bodyId_pre,bodyId_post,weight
12781,120703,6
12781,811672,6
12781,152829,6
12781,128571,6
556329,814570,6
556329,816108,6
12781,800144,6
556329,815149,6
556329,815385,6
556329,815402,6
556329,815424,6
12781,812897,6
12781,908734,6
556329,912819,6
556329,912414,6
12781,319505,6
556329,914569,6
12781,908714,6
12781,904961,6
12781,811538,6
556329,907349,6
556329,15070,6
12781,816421,6
12781,816565,6
12781,816432,6
556329,816409,6
556329,816588,6
556329,56710,6
556329,58828,6
12781,232995,6
12781,232997,6
556329,816955,6
12781,810490,6
556329,809773,6
556329,809453,6
556329,810293,6
12781,228930,6
556329,828380,6
12781,807657,6
12781,280166,6
12781,281806,6
12781,283181,6
12781,816164,6
556329,809995,6
556329,809837,6
556329,816205,6
556329,813003,6
556329,817897,6
12781,815098,6
12781,814907,6
556329,805597,6
556329,513287,6
556329,808153,6
12781,249687,6
556329,820921,6
556329,806992,6
12781,244762,6
12781,246484,6
556329,820745,6
556329,818342,6
556329,818158,6
556329,524190,6
556329,818139,6
12781,418026,6
12781,816079,6
556329,304209,6
12781,815930,6
556329,800488,6
556329,800193,6
12781,815506,6
12781,250870,6
556329,804212,6
12781,815944,6
556329,555500,6
12781,815717,6
12781,819332,6
12781,818822,6
556329,817543,6
12781,819595,6
12781,902448,6
12781,902808,6
12781,354071,6
12781,834920,6
12781,904690,6
12781,903122,6
12781,818480,6
12781,818419,6
12781,12465,6
556329,126095791,6
556329,972803028,6
556329,323027797,6
556329,315327503,5
12781,804563,5
556329,946314,5
556329,936595,5
12781,12386,5
556329,936461,5
12781,830823,5
12781,818339,5
12781,904813,5
12781,817929,5
12781,817816,5
12781,901041,5
12781,819590,5
556329,817611,5
556329,817552,5
556329,803761,5
556329,802939,5
556329,801576,5
556329,801072,5
12781,815736,5
556329,560567,5
12781,267387,5
12781,802516,5
556329,818432,5
556329,818142,5
556329,817997,5
556329,523602,5
556329,383609,5
556329,327169,5
556329,303057,5
556329,276969,5
556329,246573,5
556329,230007,5
556329,224061,5
12781,816019,5
556329,190983,5
12781,815027,5
556329,806000,5
556329,817929,5
556329,817886,5
556329,817837,5
556329,817820,5
12781,809694,5
12781,802852,5
556329,817617,5
12781,241942,5
12781,238266,5
556329,807382,5
556329,807295,5
12781,246760,5
556329,101318,5
556329,820063,5
12781,808175,5
12781,807997,5
556329,818919,5
556329,93000,5
12781,515723,5
556329,817459,5
556329,817360,5
12781,802079,5
12781,801872,5
556329,817186,5
556329,817159,5
12781,244621,5
12781,242842,5
12781,816142,5
12781,816111,5
12781,803021,5
12781,807736,5
556329,903317,5
556329,902734,5
12781,27702,5
556329,824235,5
12781,226965,5
12781,224058,5
12781,223943,5
12781,231826,5
556329,810129,5
12781,814563,5
12781,814449,5
556329,822284,5
556329,29485,5
556329,25821,5
556329,23382,5
12781,816456,5
556329,16384,5
556329,13624,5
12781,816933,5
12781,816760,5
12781,814124,5
12781,221349,5
556329,812157,5
556329,816885,5
556329,816783,5
12781,811165,5
556329,816770,5
556329,816700,5
556329,816674,5
556329,816593,5
556329,816565,5
12781,801143,5
556329,816336,5
556329,816333,5
556329,816224,5
556329,11131,5
556329,10788,5
12781,807546,5
12781,813679,5
556329,813298,5
12781,519690,5
556329,813234,5
556329,10499,5
12781,289340,5
12781,817078,5
12781,705008006,5
12781,639242246,5
12781,943313,5
12781,914648,5
12781,912325,5
12781,817345,5
12781,817302,5
12781,202814,5
12781,195910,5
556329,814101,5
556329,814012,5
556329,813882,5
12781,207504,5
12781,207348,5
12781,203822,5
12781,817251,5
12781,911856,5
12781,804369,5
12781,14119,5
556329,908372,5
12781,909225,5
556329,814770,5
12781,813210,5
556329,814526,5
556329,816158,5
556329,816105,5
12781,812007,5
12781,111272,5
556329,814798,5
556329,815789,5
556329,815740,5
12781,93000,5
12781,821924,5
12781,820270,5
12781,820155,5
556329,815340,5
556329,815111,5
556329,914652,5
12781,805397,5
12781,805321,5
12781,805039,5
12781,10438,5
556329,269477486,4
556329,1000554901,4
556329,176066484,4
556329,911962,4
556329,910761,4
556329,908135,4
12781,806952,4
12781,805997,4
12781,20065,4
12781,19419,4
12781,18278,4
556329,904571,4
12781,803154,4
12781,807778,4
556329,902556,4
556329,832315,4
556329,827769,4
12781,819256,4
12781,818636,4
556329,824702,4
556329,822797,4
12781,808279,4
556329,819732,4
556329,819062,4
556329,818823,4
556329,818567,4
12781,802783,4
12781,802615,4
12781,802482,4
12781,808913,4
556329,818445,4
556329,818317,4
556329,818272,4
556329,818190,4
12781,820096,4
556329,817833,4
556329,817758,4
556329,817757,4
12781,810015,4
12781,809823,4
556329,817634,4
556329,817626,4
556329,817558,4
556329,817361,4
556329,817323,4
12781,802273,4
12781,810582,4
556329,817262,4
556329,817252,4
556329,817228,4
12781,41197,4
12781,36667,4
12781,821036,4
12781,820836,4
12781,820375,4
12781,34980,4
556329,817068,4
556329,816929,4
556329,816917,4
556329,816847,4
12781,811335,4
12781,811105,4
556329,816754,4
556329,816641,4
556329,816586,4
556329,816529,4
556329,816478,4
12781,821281,4
12781,821220,4
556329,816080,4
556329,815980,4
556329,815866,4
556329,815859,4
12781,800437,4
556329,815546,4
12781,812571,4
12781,800517,4
556329,815461,4
556329,815166,4
556329,815143,4
12781,574283,4
12781,812866,4
12781,818251,4
12781,823271,4
556329,814712,4
556329,814681,4
12781,800268,4
556329,814573,4
556329,814256,4
12781,524518,4
12781,813400,4
12781,813341,4
12781,193450,4
12781,188780,4
12781,173087,4
556329,814165,4
556329,814040,4
556329,813961,4
556329,813865,4
556329,813789,4
12781,825532,4
12781,212198,4
12781,203208,4
12781,518626,4
556329,813460,4
12781,218719,4
12781,217750,4
12781,215643,4
12781,214463,4
12781,813793,4
556329,813193,4
556329,812802,4
556329,812741,4
556329,812477,4
12781,832026,4
12781,831813,4
12781,221778,4
12781,221504,4
12781,813997,4
12781,220685,4
12781,220523,4
556329,812055,4
556329,811885,4
12781,227023,4
12781,226280,4
12781,224261,4
12781,468519,4
12781,814256,4
556329,811107,4
12781,229545,4
12781,228534,4
556329,810113,4
556329,809664,4
12781,814513,4
12781,814386,4
12781,814370,4
12781,233045,4
556329,808874,4
556329,808489,4
556329,808382,4
556329,808343,4
12781,240429,4
12781,238803,4
12781,814882,4
12781,814858,4
12781,814760,4
12781,814642,4
556329,807790,4
12781,902639,4
556329,807652,4
556329,807449,4
12781,815283,4
12781,815213,4
12781,815149,4
556329,806634,4
556329,806027,4
556329,805575,4
556329,805283,4
556329,804051,4
556329,803568,4
12781,263271,4
12781,815434,4
12781,817934,4
12781,817878,4
12781,253245,4
556329,802277,4
556329,801272,4
556329,800826,4
556329,800713,4
556329,800660,4
12781,815720,4
12781,815659,4
556329,556073,4
556329,519690,4
556329,471787,4
556329,430460,4
556329,363186,4
12781,904217,4
12781,903803,4
556329,335573,4
556329,312163,4
556329,305417,4
556329,275075,4
556329,235133,4
556329,212910,4
556329,211409,4
12781,816016,4
556329,169936,4
556329,89002,4
556329,67239,4
556329,61729,4
12781,288123,4
12781,816331,4
12781,816287,4
12781,284053,4
12781,282176,4
12781,905925,4
12781,316058,4
12781,816631,4
12781,816407,4
12781,816902,4
556329,11156,4
12781,308970,4
12781,302324,4
12781,298220,4
12781,817016,4
12781,816963,4
12781,793720445,4
12781,732273595,4
12781,491318618,4
12781,909456,4
12781,909242,4
12781,817459,4
12781,817399,4
556329,673961277,4
12781,11239,4
556329,1079514751,3
12781,10501,3
556329,389697874,3
556329,861386036,3
556329,846255116,3
556329,845011371,3
556329,791272384,3
556329,1051168067,3
556329,1034904746,3
12781,817404,3
556329,1062759959,3
556329,1061389617,3
556329,1004255645,3
556329,177312535,3
556329,946727,3
556329,945500,3
556329,937647,3
12781,13047,3
12781,12457,3
556329,935251,3
556329,928563,3
556329,926363,3
556329,922277,3
12781,817612,3
556329,913303,3
12781,805428,3
556329,911140,3
556329,910452,3
556329,910032,3
556329,909772,3
12781,16458,3
12781,16172,3
12781,803964,3
12781,803848,3
12781,805939,3
12781,15884,3
12781,15673,3
12781,13580,3
556329,909194,3
12781,817195,3
12781,912205,3
12781,911279,3
12781,910608,3
556329,908373,3
556329,908237,3
556329,907424,3
556329,907353,3
12781,807656,3
12781,806108,3
556329,906616,3
556329,905611,3
12781,18338,3
12781,17513,3
556329,903667,3
12781,913933,3
12781,913107,3
12781,912389,3
12781,912343,3
12781,912326,3
12781,803093,3
12781,807806,3
556329,903255,3
12781,29976,3
12781,29485,3
556329,845178,3
556329,831163,3
556329,829346,3
556329,827138,3
12781,819247,3
12781,819104,3
12781,819062,3
12781,937496,3
12781,933729,3
12781,929968,3
12781,926363,3
12781,819039,3
12781,818635,3
556329,825773,3
556329,823586,3
556329,821913,3
556329,821832,3
556329,821442,3
556329,820936,3
556329,820749,3
556329,820544,3
556329,820246,3
12781,282917265,3
12781,156809894,3
12781,942159,3
556329,820149,3
556329,820119,3
556329,819987,3
12781,808035,3
12781,803741,3
12781,803739,3
12781,803468,3
556329,819249,3
556329,819144,3
556329,818932,3
556329,818756,3
556329,818695,3
556329,818623,3
12781,907324,3
12781,906721,3
12781,327128397,3
556329,818532,3
12781,808350,3
556329,818390,3
556329,818255,3
556329,818174,3
556329,818094,3
556329,818005,3
12781,819463,3
12781,819325,3
12781,819316,3
556329,817789,3
12781,809874,3
12781,599670920,3
12781,556095667,3
556329,817651,3
556329,817606,3
556329,817572,3
556329,817508,3
556329,817501,3
556329,817477,3
556329,817409,3
12781,801603,3
556329,817257,3
556329,817215,3
12781,40743,3
12781,820476,3
12781,820436,3
12781,820406,3
12781,817157,3
12781,817128,3
12781,816948,3
12781,816941,3
556329,817027,3
556329,816986,3
556329,816825,3
556329,816784,3
12781,811440,3
12781,810733,3
556329,816614,3
556329,816582,3
556329,816567,3
556329,816488,3
556329,816471,3
556329,816423,3
